probability_of_a_match,number_of_rounds,probability_of_win
0.05,99,1.2413241824092996e-73
0.05,100,2.346750462889011e-74
0.06,1,0.06
0.06,2,0.010367999999999999
0.06,3,0.0019702655999999995
0.06,4,0.00039149153279999986
0.06,5,7.984153193471998e-05
0.06,6,1.6564115759033543e-05
0.06,7,3.478346093901589e-06
0.06,8,7.370642886230898e-07
0.06,9,1.5728318680668724e-07
0.06,10,3.375116004633909e-08
0.06,11,7.275776071061285e-09
0.06,12,1.5744224746396408e-09
0.06,13,3.417898270932816e-10
0.06,14,7.440336047168682e-11
0.06,15,1.6235344561491878e-11
0.06,16,3.550063651796566e-12
0.06,17,7.776955089826562e-13
0.06,18,1.706447339938035e-13
0.06,19,3.749826401291515e-14
0.06,20,8.25088995437644e-15
0.06,21,1.817637556460262e-15
0.06,22,4.008515712277513e-16
0.06,23,8.848890110176188e-17
0.06,24,1.9551817903521773e-17
0.06,25,4.323616225030531e-18
0.06,26,9.568435723362602e-19
0.06,27,2.119062755508911e-19
0.06,28,4.696060388045955e-20
0.06,29,1.0413355771768234e-20
0.06,30,2.3104527910909343e-21
0.06,31,5.129047938574826e-22
0.06,32,1.1391872097477492e-22
0.06,33,2.5313888839347653e-23
0.06,34,5.6275061358036296e-24
0.06,35,1.2515706675593847e-24
0.06,36,2.784626408039962e-25
0.06,37,6.197854178514746e-26
0.06,38,1.379971300242292e-26
0.06,39,3.0735842786900347e-27
0.06,40,6.847929032322317e-28
0.06,41,1.5261796060774228e-28
0.06,42,3.402342363770732e-29
0.06,43,7.587007139415531e-30
0.06,44,1.6923010606801446e-30
0.06,45,3.7756725217383548e-31
0.06,46,8.425890438813463e-32
0.06,47,1.8807784206598513e-32
0.06,48,4.199094182079653e-33
0.06,49,9.377041341058178e-34
0.06,50,2.0944239229131768e-34
0.06,51,4.678950182749996e-35
0.06,52,1.04547596613003e-35
0.06,53,2.336460269304644e-36
0.06,54,5.222501183839551e-37
0.06,55,1.1675399176261539e-37
0.06,56,2.610570128925729e-38
0.06,57,5.8380385149926025e-39
0.06,58,1.3057624310296677e-39
0.06,59,2.9209544204402627e-40
0.06,60,6.535016316543481e-41
0.06,61,1.4622709374716327e-41
0.06,62,3.272400009162914e-42
0.06,63,7.324204565591346e-43
0.06,64,1.6394884240495568e-43
0.06,65,3.670357747171962e-44
0.06,66,8.217865177927252e-45
0.06,67,1.840173156367995e-45
0.06,68,4.121032043644038e-46
0.06,69,9.229953923042315e-47
0.06,70,2.067464184615526e-47
0.06,71,4.631483402335081e-48
0.06,72,1.0376351429368958e-48
0.06,73,2.324933378897224e-49
0.06,74,5.209745619997493e-50
0.06,75,1.1675127121235503e-50
0.06,76,2.6166448640063184e-51
0.06,77,5.8649596149403816e-52
0.06,78,1.314684054015974e-52
0.06,79,2.9472228597491857e-53
0.06,80,6.60752615787176e-54
0.06,81,1.4814885179333328e-54
0.06,82,3.321929084099526e-55
0.06,83,7.449280115457856e-56
0.06,84,1.6705880717987927e-56
0.06,85,3.746751046365072e-57
0.06,86,8.403689198229463e-58
0.06,87,1.8850120398055374e-58
0.06,88,4.228502749739532e-59
0.06,89,9.486080636286821e-60
0.06,90,2.128208125611003e-60
0.06,91,4.774939540825862e-61
0.06,92,1.0713899696982381e-61
0.06,93,2.4041006027383735e-62
0.06,94,5.394889092041378e-63
0.06,95,1.210700451750553e-63
0.06,96,2.717156679601514e-64
0.06,97,6.098400785799059e-65
0.06,98,1.3688002362237168e-65
0.06,99,3.0724621899454136e-66
0.06,100,6.896916092120955e-67
0.07,1,0.07
0.07,2,0.014014000000000002
0.07,3,0.0030799342000000004
0.07,4,0.0007072419214000002
0.07,5,0.00016662398572099004
0.07,6,3.992476631525723e-05
0.07,7,9.681662643108803e-06
0.07,8,2.3688801751833145e-06
0.07,9,5.836471552010048e-07
0.07,10,1.4459884782002203e-07
0.07,11,3.598707754011451e-08
0.07,12,8.990140967448764e-09
0.07,13,2.2530554457400267e-09
0.07,14,5.661928785737237e-10
0.07,15,1.42621687958265e-10
0.07,16,3.6000347856541755e-11
0.07,17,9.103782049130793e-12
0.07,18,2.3059123639471492e-12
0.07,19,5.849183553148232e-13
0.07,20,1.4856485335769872e-13
0.07,21,3.777906274580434e-14
0.07,22,9.617314772260787e-15
0.07,23,2.45066194477529e-15
0.07,24,6.250350353736586e-16
0.07,25,1.5954581414897758e-16
0.07,26,4.075668880620879e-17
0.07,27,1.0418859956168278e-17
0.07,28,2.665185076072368e-18
0.07,29,6.821827254878385e-19
0.07,30,1.7471191015583763e-19
0.07,31,4.476893318192546e-20
0.07,32,1.1477542481209163e-20
0.07,33,2.9439186886561816e-21
0.07,34,7.554320778569121e-22
0.07,35,1.939307807790781e-22
0.07,36,4.980462784513973e-23
0.07,37,1.2795433874253245e-23
0.07,38,3.288472117072499e-24
0.07,39,8.454331286811834e-25
0.07,40,2.174217678037912e-25
0.07,41,5.593178641097419e-26
0.07,42,1.4392624416707675e-26
0.07,43,3.7045980355829e-27
0.07,44,9.53798315585041e-28
0.07,45,2.4562993494177436e-28
0.07,46,6.327185580359557e-29
0.07,47,1.6301964646096203e-29
0.07,48,4.201121580783509e-30
0.07,49,1.0828855833907432e-30
0.07,50,2.7918252817702504e-31
0.07,51,7.199109535514933e-32
0.07,52,1.85673937885958e-32
0.07,53,4.7896266303568995e-33
0.07,54,1.2357425771439933e-33
0.07,55,3.1887997901565487e-34
0.07,56,8.229942228624122e-35
0.07,57,2.124389510829777e-35
0.07,58,5.4844995090309166e-36
0.07,59,1.4161300209650094e-36
0.07,60,3.657046013124128e-37
0.07,61,9.445324519552276e-38
0.07,62,2.439835807197018e-38
0.07,63,6.303180727956543e-39
0.07,64,1.6285932474196866e-39
0.07,65,4.208405313936067e-40
0.07,66,1.087609457346706e-40
0.07,67,2.8111069538974457e-41
