time,humidity,temperature
12019999, 53.10, 21.10
12039999, 54.00, 22.90
12079998, 53.80, 22.90
12099999, 53.90, 22.90
12120000, 53.90, 22.90
12139999, 54.00, 22.90
12159998, 54.20, 22.90
12179999, 53.80, 22.90
12199998, 54.10, 22.90
12220000, 54.50, 22.90
12240000, 54.30, 22.90
12279999, 54.50, 22.90
12299999, 54.10, 22.90
12339999, 54.00, 22.90
12359998, 53.90, 22.90
12379999, 53.80, 22.90
12399998, 53.40, 22.90
12439999, 53.30, 22.90
12459999, 53.40, 23.30
12480000, 53.20, 22.90
12519999, 53.20, 22.80
12539999, 53.10, 22.90
12560000, 52.80, 22.80
12579999, 52.90, 22.80
12599999, 53.10, 22.80
12619999, 53.10, 22.80
12639998, 53.30, 22.80
12659999, 53.20, 22.80
12679999, 53.30, 22.80
12700000, 53.30, 22.80
12720000, 53.50, 22.80
12739999, 53.40, 22.80
12760000, 53.40, 22.80
12779999, 53.40, 22.80
12819999, 53.50, 22.80
12839999, 53.80, 22.80
12879998, 54.10, 22.80
12919999, 53.90, 22.80
12939999, 53.70, 22.80
12959998, 53.90, 22.80
12979998, 53.80, 22.80
12999999, 53.70, 22.80
13020000, 53.80, 22.80
13040000, 53.80, 22.90
13079998, 53.80, 22.80
13119998, 53.80, 22.80
13139998, 53.70, 22.90
13159998, 53.60, 22.80
13179999, 53.70, 22.80
13200000, 53.70, 22.80
13239999, 53.60, 22.80
13259999, 53.50, 22.80
13279998, 53.50, 22.80
13319999, 53.30, 22.10
13339999, 53.50, 22.80
13359998, 53.50, 22.80
13379999, 53.50, 22.80
13419999, 53.30, 22.80
13439998, 53.50, 22.80
13479998, 53.40, 22.80
13499999, 53.20, 22.80
13520000, 53.30, 22.80
13539998, 53.50, 22.80
13559999, 53.40, 22.80
13579999, 53.40, 22.80
13619998, 53.40, 22.80
13639999, 53.40, 22.80
13659999, 53.60, 22.80
13680000, 53.80, 23.20
13719999, 53.60, 22.80
13760000, 53.70, 22.80
13799999, 53.60, 22.80
13819999, 53.60, 22.80
13839998, 53.50, 22.80
13859999, 53.40, 22.80
13899999, 53.20, 22.80
13920000, 53.20, 22.90
13939998, 53.30, 22.80
13959998, 53.50, 22.80
13979999, 53.30, 22.80
13999998, 53.10, 22.80
14019998, 53.00, 22.80
14059999, 53.20, 22.80
14080000, 53.30, 22.80
14100000, 52.70, 22.80
14119999, 52.90, 22.80
14139999, 53.00, 22.80
14159998, 53.40, 22.90
14199999, 53.10, 22.80
14219999, 52.80, 22.80
14239998, 52.80, 22.80
14259998, 51.40, 22.80
14300000, 52.70, 22.80
14319998, 52.90, 22.80
14339998, 52.80, 22.80
14360000, 52.80, 22.80
14399998, 52.80, 22.80
14419999, 52.80, 22.80
14459999, 52.90, 22.80
14479998, 53.00, 22.80
14519998, 53.00, 22.80
14540000, 51.60, 19.70
14559998, 52.90, 22.70
14579998, 52.90, 22.80
14599999, 53.10, 22.80
14620000, 52.90, 22.70
14640000, 52.80, 22.70
14659999, 52.90, 22.80
14679999, 52.80, 22.70
14699999, 52.90, 22.80
14720000, 52.90, 22.70
14739999, 52.90, 22.70
14779999, 53.00, 22.80
14819998, 53.10, 22.70
14859999, 52.90, 22.80
14880000, 53.00, 22.80
14899998, 53.00, 22.70
14919999, 53.10, 22.70
14959998, 53.10, 22.70
14979999, 53.20, 22.80
14999999, 53.00, 22.70
15019999, 53.00, 22.70
15040000, 53.00, 22.70
15059999, 53.20, 22.70
15079998, 53.10, 22.70
15099999, 53.00, 22.70
15120000, 52.90, 22.70
15159998, 52.90, 22.70
15179999, 52.80, 22.70
15199998, 52.90, 22.70
15239998, 52.90, 22.70
15260000, 52.90, 22.70
15280000, 52.90, 22.70
15299999, 53.00, 22.70
15320000, 53.10, 22.70
15339999, 53.10, 22.70
15359998, 53.10, 22.70
15379999, 53.00, 22.70
15399999, 53.00, 22.70
15420000, 53.20, 22.70
15439998, 53.40, 22.70
15459999, 53.30, 22.70
15479999, 53.30, 22.70
15519998, 53.90, 22.70
15559998, 53.90, 22.70
15580000, 53.80, 22.70
15619998, 53.70, 22.70
15639999, 53.50, 22.80
15659999, 53.20, 22.70
15699998, 53.20, 22.70
15719998, 53.20, 22.70
15759998, 53.60, 22.70
15779999, 53.70, 22.70
15799999, 53.20, 22.70
15819999, 53.60, 22.70
15839998, 53.50, 22.70
15859999, 53.60, 23.50
15879999, 53.50, 22.70
15899999, 53.50, 22.70
15919998, 53.20, 22.70
15939999, 53.20, 22.70
15979999, 53.20, 22.70
16000000, 53.20, 22.70
16019999, 53.50, 22.60
16039999, 53.50, 22.90
16060000, 53.50, 22.70
16099998, 53.40, 22.70
16119999, 53.50, 22.70
16139999, 53.60, 22.60
16160000, 53.70, 22.60
16179999, 53.70, 22.60
16199999, 53.70, 22.70
16239998, 53.60, 22.70
16259999, 53.70, 22.70
16299999, 53.70, 22.70
16320000, 53.60, 22.60
16339998, 53.60, 22.60
16359999, 53.70, 22.60
16400000, 53.70, 22.60
16439998, 53.80, 22.60
16459999, 53.90, 22.60
16499998, 53.80, 22.60
16539999, 53.90, 22.60
